date_shipped;shipping_country;order_type;delivery_status;GSb4Ret;;;;;;;
02.06.2015;AT;First Order;Returned;780.45;;;;;;;
02.06.2015;BE;Repeat Order Follow-on;;249.90;;;;;;;
02.06.2015;DE;First Order;Returned;3,720.66;;;;;;;
02.06.2015;DE;Repeat Order;Returned;689.40;;;;;;;
02.06.2015;BE;First Order Follow-on;Returned;199.85;;;;;;;
01.06.2015;DE;Outfittery Club Order;Returned;3,799.30;;;;;;;
01.06.2015;DE;First Order;Returned;4,314.34;;;;;;;
01.06.2015;NL;Outfittery Club Order;Returned;1,768.90;;;;;;;
30.05.2015;DE;Outfittery Club Order;Returned;1,473.70;;;;;;;
30.05.2015;DE;First Order;Returned;585.65;;;;;;;
29.05.2015;DE;Outfittery Club Order;Returned;3,982.40;;;;;;;
29.05.2015;DE;First Order;Returned;2,208.29;;;;;;;
28.05.2015;DE;Repeat Order;Returned;619.55;;;;;;;
28.05.2015;AT;Outfittery Club Order;Returned;1,359.84;;;;;;;
28.05.2015;DE;First Order;Returned;1,354.94;;;;;;;
28.05.2015;DE;Outfittery Club Order;Kept;729.50;;;;;;;
28.05.2015;CH;First Order Follow-on;Returned;475.99;;;;;;;
28.05.2015;DE;Outfittery Club Order;Returned;9,553.42;;;;;;;
27.05.2015;BE;First Order;Returned;772.30;;;;;;;
27.05.2015;NL;First Order;Returned;804.34;;;;;;;
27.05.2015;DE;Outfittery Club Order;Returned;5,144.02;;;;;;;
27.05.2015;DE;Repeat Order Follow-on;Returned;299.85;;;;;;;
27.05.2015;CH;First Order;Kept;1,008.66;;;;;;;
27.05.2015;DE;First Order;Returned;1,133.65;;;;;;;
26.05.2015;DE;Repeat Order;Returned;959.30;;;;;;;
26.05.2015;DE;First Order;Returned;3,412.50;;;;;;;
26.05.2015;DE;Outfittery Club Order;Returned;4,620.39;;;;;;;
26.05.2015;DE;Repeat Order Follow-on;Returned;349.70;;;;;;;
22.05.2015;DE;Repeat Order;Returned;909.45;;;;;;;
22.05.2015;DE;First Order;Returned;841.30;;;;;;;
21.05.2015;DE;First Order Follow-on;;129.95;;;;;;;
21.05.2015;AT;First Order;Returned;669.25;;;;;;;
21.05.2015;DE;Repeat Order Follow-on;Returned;209.80;;;;;;;
21.05.2015;DE;Repeat Order;Returned;1,826.90;;;;;;;
20.05.2015;DE;Repeat Order;Returned;2,316.30;;;;;;;
20.05.2015;DE;First Order;Kept;742.40;;;;;;;
19.05.2015;CH;First Order;Returned;2,110.58;;;;;;;
19.05.2015;DE;First Order;Returned;499.65;;;;;;;
19.05.2015;DE;Repeat Order Follow-on;;49.95;;;;;;;
18.05.2015;DE;First Order;Kept;774.40;;;;;;;
18.05.2015;DE;Repeat Order;Returned;1,470.15;;;;;;;
18.05.2015;DE;First Order;Returned;3,614.94;;;;;;;
15.05.2015;CH;Repeat Order Follow-on;Returned;399.19;;;;;;;
15.05.2015;NL;First Order;Returned;459.80;;;;;;;
15.05.2015;DE;Repeat Order;Kept;636.49;;;;;;;
15.05.2015;DE;First Order;Returned;1,351.13;;;;;;;
13.05.2015;DE;Repeat Order Follow-on;;89.95;;;;;;;
13.05.2015;DE;Repeat Order;Returned;1,953.70;;;;;;;
13.05.2015;DE;First Order;Returned;1,801.34;;;;;;;
12.05.2015;DE;Repeat Order;Returned;2,088.40;;;;;;;
12.05.2015;DE;First Order;Returned;2,675.90;;;;;;;
12.05.2015;DE;Repeat Order;Kept;740.45;;;;;;;
12.05.2015;LU;Repeat Order;Kept;704.49;;;;;;;
11.05.2015;DE;First Order;Returned;1,469.95;;;;;;;
08.05.2015;DE;First Order;Returned;4,715.54;;;;;;;
08.05.2015;AT;Repeat Order Follow-on;;299.95;;;;;;;
08.05.2015;DE;Repeat Order;Returned;2,125.82;;;;;;;
08.05.2015;DE;Repeat Order Follow-on;Returned;345.75;;;;;;;
07.05.2015;DE;First Order;Returned;3,822.35;;;;;;;
07.05.2015;DE;Repeat Order;Returned;2,557.63;;;;;;;
07.05.2015;AT;First Order;Returned;492.45;;;;;;;
06.05.2015;DE;First Order;Returned;1,738.75;;;;;;;
05.05.2015;CH;First Order;Returned;912.47;;;;;;;
05.05.2015;DE;First Order;Returned;963.00;;;;;;;
05.05.2015;DE;Repeat Order;Returned;239.75;;;;;;;
04.05.2015;DE;First Order;Returned;3,292.85;;;;;;;
04.05.2015;AT;First Order;Returned;839.30;;;;;;;
30.04.2015;DE;First Order;Returned;1,959.29;;;;;;;
30.04.2015;CH;Repeat Order;Kept;1,011.47;;;;;;;
30.04.2015;DE;Repeat Order;Returned;1,381.83;;;;;;;
30.04.2015;DE;First Order;Cancelled;789.44;;;;;;;
30.04.2015;AT;First Order;Returned;765.40;;;;;;;
30.04.2015;DE;Repeat Order;Lost;819.45;;;;;;;
29.04.2015;CH;First Order Follow-on;Returned;466.81;;;;;;;
29.04.2015;AT;First Order;Returned;484.55;;;;;;;
29.04.2015;CH;Repeat Order Follow-on;Kept;144.33;;;;;;;
28.04.2015;DE;First Order Follow-on;Returned;190.90;;;;;;;
28.04.2015;DE;Repeat Order;Returned;659.45;;;;;;;
28.04.2015;CH;First Order;Returned;633.30;;;;;;;
28.04.2015;CH;Repeat Order;Kept;639.75;;;;;;;
27.04.2015;CH;Repeat Order;Kept;659.22;;;;;;;
27.04.2015;DE;First Order;Returned;1,547.84;;;;;;;
24.04.2015;DE;First Order;Kept;664.40;;;;;;;
23.04.2015;AT;Repeat Order;Returned;710.50;;;;;;;
23.04.2015;DE;First Order;Returned;1,096.05;;;;;;;
22.04.2015;AT;First Order;Returned;1,034.40;;;;;;;
22.04.2015;DE;First Order;Returned;2,534.10;;;;;;;
22.04.2015;DE;Repeat Order;Returned;636.43;;;;;;;
21.04.2015;CH;Repeat Order;Kept;374.60;;;;;;;
21.04.2015;DE;First Order;Returned;2,976.70;;;;;;;
20.04.2015;DE;First Order;Returned;570.75;;;;;;;
20.04.2015;DE;Repeat Order;Returned;644.45;;;;;;;
20.04.2015;CH;Repeat Order Follow-on;Returned;757.68;;;;;;;
17.04.2015;DE;First Order;Returned;574.45;;;;;;;
16.04.2015;DE;First Order;Returned;756.40;;;;;;;
16.04.2015;DE;First Order Follow-on;Returned;339.70;;;;;;;
16.04.2015;AT;First Order;Returned;604.50;;;;;;;
15.04.2015;CH;First Order;Returned;1,534.93;;;;;;;
15.04.2015;DE;First Order;Returned;2,334.40;;;;;;;
15.04.2015;DE;Repeat Order Follow-on;Returned;300.50;;;;;;;
15.04.2015;AT;First Order;Returned;585.39;;;;;;;
13.04.2015;DE;First Order;Returned;2,561.25;;;;;;;
10.04.2015;DE;First Order;Returned;3,141.30;;;;;;;
09.04.2015;DE;First Order;;379.95;;;;;;;
09.04.2015;DE;First Order;Returned;1,873.70;;;;;;;
08.04.2015;DE;First Order;Returned;592.35;;;;;;;
08.04.2015;DE;Repeat Order;Returned;499.64;;;;;;;
07.04.2015;DE;First Order;Returned;2,134.10;;;;;;;
