order_id;return_comment;return_comment_date
312988474;addressee unknown;06.08.2015
314837345;addressee unknown;07.08.2015
312089583;addressee unknown;07.08.2015
315365285;addressee unknown;07.08.2015
315476034;addressee unknown;07.08.2015
313585218;addressee unknown;07.08.2015
317178309;addressee has moved;10.08.2015
313190050;addressee unknown;
314774809;addressee unknown;
315798751;addressee unknown;
316304396;addressee unknown;10.08.2015
315829185;addressee unknown;10.08.2015
317652518;addressee unknown;10.08.2015
316106080;addressee unknown;10.08.2015
313203412;addressee unknown;10.08.2015
312117355;addressee unknown;10.08.2015
316119998;addressee unknown;11.08.2015
316516164;addressee unknown;11.08.2015
314813303;addressee unknown;11.08.2015
309297197;addressee unknown;11.08.2015
315476863;addressee unknown;11.08.2015
311753708;addressee unknown;11.08.2015
317304350;addressee unknown;11.08.2015
317455122;addressee unknown;12.08.2015
317410806;addressee unknown;12.08.2015
316091596;addressee unknown;12.08.2015
314083500;addressee unknown;12.08.2015
282864457;addressee unknown;13.08.2015
315475464;addressee unknown;13.08.2015
312121923;addressee unknown;13.08.2015
315798751;addressee unknown;13.08.2015
317737306;addressee unknown;13.08.2015
311996117;addressee unknown;13.08.2015
316090955;addressee unknown;13.08.2015
313501761;addressee unknown;13.08.2015
316489523;addressee unknown;13.08.2015
318469209;addressee unknown;17.08.2015
318464033;addressee unknown;17.08.2015
308744684;addressee unknown;17.08.2015
282864457;addressee unknown;17.08.2015
317237965;addressee unknown;17.08.2015
308855545;addressee unknown;17.08.2015
313001543;addressee unknown;17.08.2015
315389090;addressee unknown;17.08.2015
310254662;addressee unknown;17.08.2015
309702264;addressee has moved;17.08.2015
307006768;addressee unknown;17.08.2015
309784977;addressee unknown;17.08.2015
307589318;addressee unknown;17.08.2015
316499265;addressee unknown;17.08.2015
307200808;addressee unknown;17.08.2015
308111211;addressee unknown;17.08.2015
308937922;addressee unknown;17.08.2015
307402204;addressee unknown;18.08.2015
314218794;addressee unknown;18.08.2015
310063017;addressee unknown;18.08.2015
306176508;addressee unknown;18.08.2015
314191961;addressee unknown;18.08.2015
306756534;addressee unknown;18.08.2015
312742714;addressee unknown;18.08.2015
312163424;addressee unknown;18.08.2015
317786163;addressee unknown;18.08.2015
313002441;addressee unknown;18.08.2015
312600083;addressee unknown;18.08.2015
311430191;addressee unknown;18.08.2015
310957851;addressee unknown;18.08.2015
318055595;addressee unknown;18.08.2015
317706324;addressee unknown;18.08.2015
314839507;addressee unknown;18.08.2015
306260340;addressee unknown;18.08.2015
307450650;addressee unknown;18.08.2015
316091596;addressee unknown;18.08.2015
318433290;addressee unknown;18.08.2015
315252498;addressee unknown;18.08.2015
317293333;addressee unknown;18.08.2015
311602458;addressee unknown;18.08.2015
307567319;addressee unknown;18.08.2015
308239033;addressee unknown;18.08.2015
308824134;addressee unknown;19.08.2015
