"02-Jun-2015","BE","Repeat Order Follow-on","","249.90"
"22-Mai-2015","DE","Repeat Order","Returned","909.45"
"16-Sep-2015","DE","First Order","Returned","598.95"
"19-Jun-2015","DE","Repeat Order","Returned","1,103.40"
"17-Aug-2015","DE","First Order","Returned","6,849.70"
"05-Aug-2015","AT","First Order","Returned","793.49"
"29-Apr-2015","CH","First Order Follow-on","Returned","466.81"
"05-Mai-2015","CH","First Order","Returned","912.47"
"24-Jul-2015","DE","Repeat Order","Returned","3,312.55"
"28-Mai-2015","DE","Outfittery Club Order","Kept","729.50"
"03-Feb-2015","AT","First Order","Returned","790.29"
"10-Sep-2015","DE","Repeat Order","Returned","969.35"
"27-Mai-2015","CH","First Order","Kept","1,008.66"
"11-Aug-2015","DE","First Order","Returned","2,611.13"
"25-Feb-2015","DE","First Order","Returned","2,965.80"
"16-Apr-2015","DE","First Order Follow-on","Returned","339.70"
"08-Mai-2015","DE","Repeat Order Follow-on","Returned","345.75"
"01-Sep-2015","DE","First Order","Returned","5,247.77"
"22-Jul-2015","DE","First Order","Returned","8,893.42"
"26-Aug-2015","DE","Repeat Order Follow-on","","89.95"
"16-Apr-2015","AT","First Order","Returned","604.50"
"03-Jul-2015","DE","First Order","Returned","1,334.78"
"09-Jun-2015","DE","First Order","Returned","2,443.30"
"18-Jun-2015","DE","First Order","Returned","1,523.70"
"09-Sep-2015","DE","Repeat Order Follow-on","Returned","334.70"
"03-Aug-2015","DE","First Order","Returned","1,893.65"
"22-Jul-2015","LU","First Order","Returned","732.44"
"04-Mai-2015","AT","First Order","Returned","839.30"
"25-Jun-2015","DE","Outfittery Club Order","Returned","2,239.39"
"23-Feb-2015","DE","Repeat Order","Returned","532.50"
"19-Mrz-2015","AT","Repeat Order","Returned","602.50"
"25-Jun-2015","DE","First Order Follow-on","Returned","419.80"
"01-Jun-2015","DE","First Order","Returned","4,314.34"
"04-Jun-2015","DE","Repeat Order","Returned","1,366.95"
"14-Sep-2015","DE","First Order","Returned","1,312.97"
"05-Mai-2015","DE","First Order","Returned","963.00"
"22-Aug-2015","DE","First Order","Returned","2,782.27"
"15-Apr-2015","AT","First Order","Returned","585.39"
"19-Feb-2015","DE","Repeat Order","Returned","1,389.25"
"31-Aug-2015","DE","First Order","Returned","3,621.15"
"08-Sep-2015","DE","Repeat Order","Returned","2,104.02"
"02-Jun-2015","DE","First Order","Returned","3,720.66"
"21-Aug-2015","DE","First Order","Returned","10,076.08"
"17-Mrz-2015","DE","First Order","Returned","844.25"
"29-Apr-2015","AT","First Order","Returned","484.55"
"17-Mrz-2015","DE","Repeat Order","Kept","1,084.35"
"12-Jun-2015","DE","Repeat Order","Returned","909.35"
"25-Jun-2015","AT","First Order","Returned","624.49"
"23-Jun-2015","DE","First Order","Returned","1,271.79"
"24-Jun-2015","DE","First Order","Returned","6,152.70"
"29-Jun-2015","DE","Repeat Order","Returned","3,907.18"
"16-Mrz-2015","DE","First Order","Returned","733.55"
"11-Sep-2015","DK","First Order","Returned","859.18"
"27-Jul-2015","DE","First Order","Returned","5,725.23"
"07-Aug-2015","DE","First Order","","259.90"
"11-Jun-2015","DE","Outfittery Club Order","Returned","789.30"
"10-Aug-2015","DE","Repeat Order","Returned","2,169.55"
"07-Aug-2015","DE","Repeat Order","Returned","765.24"
"07-Jul-2015","DE","Repeat Order","Returned","1,320.90"
"26-Aug-2015","AT","Repeat Order","Returned","699.45"
"17-Jul-2015","DK","First Order","Returned","843.24"
"29-Jun-2015","SE","First Order","Returned","690.11"
"02-Jul-2015","AT","Repeat Order","Returned","569.54"
"02-Sep-2015","DE","Outfittery Club Order","Returned","9,576.19"
"07-Mai-2015","AT","First Order","Returned","492.45"
"30-Apr-2015","DE","Repeat Order","Lost","819.45"
"17-Jun-2015","LU","First Order","Returned","704.29"
"05-Aug-2015","DE","Repeat Order Follow-on","Returned","164.70"
"30-Mrz-2015","DE","Outfittery Club Order","Returned","902.30"
"17-Jun-2015","DE","First Order","Returned","2,495.68"
"23-Jul-2015","DE","Repeat Order","Returned","499.60"
"02-Mrz-2015","DE","First Order","Returned","848.45"
"04-Sep-2015","DE","Outfittery Club Order","Returned","8,972.29"
"28-Jul-2015","DE","Repeat Order","Returned","1,551.78"
"03-Sep-2015","DE","Outfittery Club Order","Kept","598.56"
"27-Aug-2015","SE","First Order","Returned","1,462.83"
"13-Mai-2015","DE","First Order","Returned","1,801.34"
"22-Mai-2015","DE","First Order","Returned","841.30"
"28-Aug-2015","DE","Repeat Order","Returned","1,674.89"
"08-Jul-2015","DE","Repeat Order","Returned","545.48"
"26-Mai-2015","DE","Outfittery Club Order","Returned","4,620.39"
"02-Apr-2015","DE","First Order","Returned","554.55"
"22-Jun-2015","DE","Repeat Order Follow-on","Returned","460.64"
"31-Jul-2015","DE","Repeat Order","Returned","2,384.27"
"02-Apr-2015","DE","Repeat Order","Kept","1,029.35"
"14-Aug-2015","DE","Repeat Order","Returned","844.35"
"11-Jun-2015","AT","Repeat Order","Returned","603.44"
"29-Jun-2015","AT","Outfittery Club Order","Returned","679.35"
"11-Sep-2015","DE","Outfittery Club Order","Returned","6,866.79"
"20-Mai-2015","DE","Repeat Order","Returned","2,316.30"
"08-Jan-2015","NL","First Order","Kept","832.40"
"12-Mai-2015","DE","First Order","Returned","2,675.90"
"20-Mai-2015","DE","First Order","Kept","742.40"
"22-Apr-2015","DE","Repeat Order","Returned","636.43"
"12-Mrz-2015","DE","Repeat Order","Returned","855.49"
"02-Jul-2015","DE","Outfittery Club Order","Returned","2,003.45"
"12-Mai-2015","DE","Repeat Order","Kept","740.45"
"01-Jul-2015","DE","Repeat Order","Returned","754.45"
"26-Jun-2015","DE","First Order","Returned","5,942.04"
"02-Sep-2015","NL","First Order","Returned","934.40"
"12-Mai-2015","LU","Repeat Order","Kept","704.49"
"26-Aug-2015","DE","Outfittery Club Order","Returned","5,815.81"
"08-Apr-2015","DE","Repeat Order","Returned","499.64"
"03-Jul-2015","DE","Repeat Order","Returned","1,401.84"
"18-Jun-2015","DE","Repeat Order","Returned","239.70"
"22-Jul-2015","DE","Repeat Order","Returned","2,623.88"
"28-Mai-2015","CH","First Order Follow-on","Returned","475.99"
"29-Mai-2015","DE","First Order","Returned","2,208.29"
"15-Jun-2015","DE","Repeat Order Follow-on","","79.95"
"01-Jun-2015","NL","Outfittery Club Order","Returned","1,768.90"
"12-Jun-2015","CH","First Order","Returned","1,012.72"
"03-Aug-2015","DE","Repeat Order","Returned","1,566.85"
